"Id","Player","Position","Age","National","Club","League","Height","Foot","Market value"
"1","Jude Bellingham","Attacking Midfield","21","England","Real Madrid","La Liga","1,86 m","right","€180.00m "
"2","Erling Haaland","Centre-Forward","24","Norway","Manchester City","Premier League","1,95 m","left","€180.00m "
"3","Vinicius Junior","Left Winger","24","Brazil","Real Madrid","La Liga","1,76 m","right","€180.00m "
"4","Kylian Mbappé","Centre-Forward","25","France","Real Madrid","La Liga","1,78 m","right","€180.00m "
"5","Phil Foden","Right Winger","24","England","Manchester City","Premier League","1,71 m","left","€150.00m "
"6","Bukayo Saka","Right Winger","22","England","Arsenal FC","Premier League","1,78 m","left","€140.00m "
"7","Florian Wirtz","Attacking Midfield","21","Germany","Bayer 04 Leverkusen","Bundesliga","1,77 m","right","€130.00m "
"8","Jamal Musiala","Attacking Midfield","21","Germany","Bayern Munich","Bundesliga","1,84 m","right","€130.00m  "
"9","Rodri","Defensive Midfield","28","Spain","Manchester City","Premier League","1,91 m","right","€130.00m  "
"10","Lamine Yamal","Right Winger","17","Spain","FC Barcelona","La Liga","1,78 m","left","€120.00m  "
"11","Federico Valverde","Central Midfield","25","Uruguay","Real Madrid","La Liga","1,82 m","right","€120.00m "
"12","Declan Rice","Defensive Midfield","25","England","Arsenal FC","Premier League","1,88 m","right","€120.00m "
"13","Rodrygo","Right Winger","23","Brazil","Real Madrid","La Liga","1,74 m","right","€110.00m "
"14","Lautaro Martínez","Centre-Forward","26","Argentina","Inter Milan","Serie A","1,74 m","right","€110.00m "
"15","Martin Ødegaard","Attacking Midfield","25","Norway","Arsenal FC","Premier League","1,78 m","left","€110.00m "
"16","Eduardo Camavinga","Central Midfield","21","France","Real Madrid","La Liga","1,82 m","left","€100.00m "
"17","Aurélien Tchouaméni","Defensive Midfield","24","France","Real Madrid","La Liga","1,88 m","right","€100.00m "
"18","Victor Osimhen","Centre-Forward","25","Nigeria","SSC Napoli","Serie A","1,86 m","right","€100.00m "
"19","Harry Kane","Centre-Forward","30","England","Bayern Munich","Bundesliga","1,88 m","right","€100.00m "
"20","Gavi","Central Midfield","19","Spain","FC Barcelona","La Liga","1,73 m","right","€90.00m "
"21","Julián Álvarez","Centre-Forward","24","Argentina","Manchester City","Premier League","1,70 m","right","€90.00m "
"22","Rafael Leão","Left Winger","25","Portugal","AC Milan","Serie A","1,88 m","right","€90.00m "
"23","Bruno Guimarães","Defensive Midfield","26","Brazil","Newcastle United","Premier League","1,82 m","right","€85.00m "
"24","Pedri","Central Midfield","21","Spain","FC Barcelona","La Liga","1,74 m","right","€80.00m "
"25","Cole Palmer","Attacking Midfield","22","England","Chelsea FC","Premier League","1,89 m","left","€80.00m "
"26","Xavi Simons","Attacking Midfield","21","Netherlands","Paris Saint-Germain","Ligue 1","1,79 m","right","€80.00m "
"27","Khvicha Kvaratskhelia","Left Winger","23","Georgia","SSC Napoli","Serie A","1,83 m","both","€80.00m "
"28","William Saliba","Centre-Back","23","France","Arsenal FC","Premier League","1,92 m","right","€80.00m "
"29","Rúben Dias","Centre-Back","27","Portugal","Manchester City","Premier League","1,87 m","right","€80.00m "
"30","Nicolò Barella","Central Midfield","27","Italy","Inter Milan","Serie A","1,75 m","right","€80.00m "
"31","Moisés Caicedo","Defensive Midfield","22","Ecuador","Chelsea FC","Premier League","1,78 m","right","€75.00m "
"32","Enzo Fernández","Central Midfield","23","Argentina","Chelsea FC","Premier League","1,78 m","right","€75.00m "
"33","Alexis Mac Allister","Central Midfield","25","Argentina","Liverpool FC","Premier League","1,76 m","right","€75.00m "
"34","Luis Díaz","Left Winger","27","Colombia","Liverpool FC","Premier League","1,80 m","right","€75.00m "
"35","Josko Gvardiol","Left-Back","22","Croatia","Manchester City","Premier League","1,85 m","left","€75.00m "
"36","Dominik Szoboszlai","Central Midfield","23","Hungary","Liverpool FC","Premier League","1,87 m","right","€75.00m "
"37","Alexander Isak","Centre-Forward","24","Sweden","Newcastle United","Premier League","1,92 m","right","€75.00m "
"38","Nico Williams","Left Winger","22","Spain","Athletic Bilbao","La Liga","1,81 m","right","€70.00m  "
"39","Gabriel Martinelli","Left Winger","23","Brazil","Arsenal FC","Premier League","1,78 m","right","€70.00m "
"40","Darwin Núñez","Centre-Forward","25","Uruguay","Liverpool FC","Premier League","1,87 m","right","€70.00m "
"41","Ronald Araujo","Centre-Back","25","Uruguay","FC Barcelona","La Liga","1,92 m","right","€70.00m "
"42","Douglas Luiz","Central Midfield","26","Brazil","Juventus FC","Serie A","1,77 m","right","€70.00m "
"43","Gabriel Magalhães","Centre-Back","26","Brazil","Arsenal FC","Premier League","1,90 m","left","€70.00m "
"44","Frenkie de Jong","Central Midfield","27","Netherlands","FC Barcelona","La Liga","1,81 m","right","€70.00m "
"45","Alessandro Bastoni","Centre-Back","25","Italy","Inter Milan","Serie A","1,90 m","left","€70.00m "
"46","Trent Alexander-Arnold","Right-Back","25","England","Liverpool FC","Premier League","1,80 m","right","€70.00m "
"47","Kai Havertz","Attacking Midfield","25","Germany","Arsenal FC","Premier League","1,93 m","left","€70.00m "
"48","James Maddison","Attacking Midfield","27","England","Tottenham Hotspur","Premier League","1,75 m","right","€70.00m "
"49","Bernardo Silva","Attacking Midfield","29","Portugal","Manchester City","Premier League","1,73 m","left","€70.00m "
"50","Bruno Fernandes","Attacking Midfield","29","Portugal","Manchester United","Premier League","1,79 m","right","€70.00m"
"51","Leroy Sané","Right Winger","28","Germany","Bayern Munich","Bundesliga","1,83 m","left","€70.00m "
"52","Rasmus Højlund","Centre-Forward","21","Denmark","Manchester United","Premier League","1,91 m","left","€65.00m "
"53","Jérémy Doku","Left Winger","22","Belgium","Manchester City","Premier League","1,73 m","right","€65.00m "
"54","Lucas Paquetá","Attacking Midfield","26","Brazil","West Ham United","Premier League","1,80 m","left","€65.00m "
"55","Gabriel Jesus","Centre-Forward","27","Brazil","Arsenal FC","Premier League","1,75 m","right","€65.00m "
"56","Dušan Vlahović","Centre-Forward","24","Serbia","Juventus FC","Serie A","1,90 m","left","€65.00m "
"57","Cristian Romero","Centre-Back","26","Argentina","Tottenham Hotspur","Premier League","1,85 m","right","€65.00m  "
"58","Christopher Nkunku","Attacking Midfield","26","France","Chelsea FC","Premier League","1,77 m","right","€65.00m "
"59","Matthijs de Ligt","Centre-Back","24","Netherlands","Bayern Munich","Bundesliga","1,89 m","right","€65.00m "
"60","Viktor Gyökeres","Centre-Forward","26","Sweden","Sporting CP","Liga Portugal Betclic","1,87 m","right","€65.00m "
"61","Ollie Watkins","Centre-Forward","28","England","Aston Villa","Premier League","1,80 m","right","€65.00m "
"62","Marcus Thuram","Centre-Forward","26","France","Inter Milan","Serie A","1,92 m","right","€65.00m "
"63","Endrick","Centre-Forward","18","Brazil","Real Madrid","La Liga","1,73 m","left","€60.00m "
"64","Warren Zaïre-Emery","Central Midfield","18","France","Paris Saint-Germain","Ligue 1","1,78 m","right","€60.00m "
"65","Bremer","Centre-Back","27","Brazil","Juventus FC","Serie A","1,88 m","right","€60.00m "
"66","Anthony Gordon","Left Winger","23","England","Newcastle United","Premier League","1,82 m","right","€60.00m "
"67","Éder Militão","Centre-Back","26","Brazil","Real Madrid","La Liga","1,86 m","right","€60.00m "
"68","Achraf Hakimi","Right-Back","25","Morocco","Paris Saint-Germain","Ligue 1","1,81 m","right","€60.00m "
"69","Loïs Openda","Centre-Forward","24","Belgium","RB Leipzig","Bundesliga","1,77 m","right","€60.00m "
"70","Theo Hernández","Left-Back","26","France","AC Milan","Serie A","1,84 m","left","€60.00m "
"71","Dani Olmo","Attacking Midfield","26","Spain","RB Leipzig","Bundesliga","1,79 m","right","€60.00m  "
"72","Ousmane Dembélé","Right Winger","27","France","Paris Saint-Germain","Ligue 1","1,78 m","both","€60.00m "
"73","Marcus Rashford","Left Winger","26","England","Manchester United","Premier League","1,85 m","right","€60.00m "
"74","Jack Grealish","Left Winger","28","England","Manchester City","Premier League","1,80 m","right","€60.00m "
"75","Kobbie Mainoo","Central Midfield","19","England","Manchester United","Premier League","1,80 m","right","€55.00m "
"76","João Neves","Defensive Midfield","19","Portugal","SL Benfica","Liga Portugal Betclic","1,74 m","right","€55.00m "
"77","Nuno Mendes","Left-Back","22","Portugal","Paris Saint-Germain","Ligue 1","1,83 m","left","€55.00m "
"78","Michael Olise","Right Winger","22","France","Bayern Munich","Bundesliga","1,84 m","left","€55.00m "
"79","Micky van de Ven","Centre-Back","23","Netherlands","Tottenham Hotspur","Premier League","1,93 m","left","€55.00m "
"80","Vitinha","Central Midfield","24","Portugal","Paris Saint-Germain","Ligue 1","1,72 m","right","€55.00m  "
"81","Pedro Neto","Right Winger","24","Portugal","Wolverhampton Wanderers","Premier League","1,72 m","left","€55.00m "
"82","Eberechi Eze","Attacking Midfield","26","England","Crystal Palace","Premier League","1,78 m","right","€55.00m "
"83","Cody Gakpo","Left Winger","25","Netherlands","Liverpool FC","Premier League","1,93 m","right","€55.00m  "
"84","Dejan Kulusevski","Right Winger","24","Sweden","Tottenham Hotspur","Premier League","1,86 m","left","€55.00m "
"85","Moussa Diaby","Right Winger","25","France","Aston Villa","Premier League","1,70 m","left","€55.00m "
"86","Ben White","Right-Back","26","England","Arsenal FC","Premier League","1,86 m","right","€55.00m "
"87","João Palhinha","Defensive Midfield","29","Portugal","Bayern Munich","Bundesliga","1,90 m","right","€55.00m "
"88","Mohamed Salah","Right Winger","32","Egypt","Liverpool FC","Premier League","1,75 m","left","€55.00m "
"89","Leny Yoro","Centre-Back","18","France","Manchester United","Premier League","1,90 m","right","€50.00m "
"90","Savinho","Right Winger","20","Brazil","Manchester City","Premier League","1,76 m","left","€50.00m "
"91","Bradley Barcola","Left Winger","21","France","Paris Saint-Germain","Ligue 1","1,82 m","right","€50.00m "
